vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate
AA00001,408,437,1,0,77,0,0,0,0,0.735041162,0,0,0,0,62.81774737,0,0.832242933
AA00002,188,190,1,0,30,0,90,0,0,0.735104553,0,0,0,0,61.28487979,0,0.771820991
AA00004,235,232,0,7,15,0,0,0,0,0.747053626,0,0,0,0,52.8852896,0,0.687519221
AA00036,181,172,0,1,26,0,0,0,0,0.71794894,0,0,0,0,49.51415925,0,0.756098788
AA00045,83,85,0,3,14,0,0,1,0,0.768542142,0,0,0,0,49.33039433,0,0.838586504
AA00051,484,482,1,0,49,0,2,0,0,0.768046734,0,0,0,0,55.81785091,0,0.730611148
AA00052,165,166,0,0,24,0,0,0,0,0.756978039,0,0,0,0,60.18865423,0,0.645718007
AA00055,169,161,0,1,33,0,0,0,0,0.773997567,0,0,0,0,45.27665984,0,0.84340282
AA00060,179,187,0,1,42,0,4,0,0,0.781617943,0,0,0,0,50.52883788,0,0.786292904
AA00061,220,223,0,1,31,0,0,0,0,0.782587661,0,0,0,0,45.9543714,0,0.870090234
AA00069,275,294,1,0,45,0,0,0,0,0.79287413,0,0,0,0,58.27108406,0,0.684459512
AA00118,365,358,1,1,45,0,29,0,0,0.748424275,0,0,0,0,66.68338287,0,0.676526992
AA00125,278,269,0,11,7,0,3,1,0,0.859252677,0,0,0,0,71.83391498,0,0.40558382
AA00128,153,164,3,6,13,0,130,0,0,0.801834763,0,0,0,0,78.12245529,0,0.635809674
AA00143,175,183,0,5,19,0,0,0,0,0.775946032,0,0,0,0,49.78402687,0,0.849534027
AA00146,431,431,0,0,45,0,74,0,0,0.755946693,0,0,0,0,56.97854128,0,0.751289869
AA00148,419,432,0,0,54,0,9,0,0,0.797274361,0,0,0,1403,61.3766565,0,0.817605974
AA00154,257,255,1,0,55,0,0,0,0,0.726472857,0,0,0,0,67.86191177,0,0.80986276
AA00160,298,311,0,5,35,0,0,0,0,0.772397552,0,0,0,0,57.67298636,0,0.744830269
AA00164,460,462,1,1,73,0,0,0,0,0.722152374,0,0,0,0,58.47774966,0,0.783883351
AA00173,194,202,0,2,30,0,0,0,0,0.758601837,0,0,0,0,66.12994164,0,0.593721595
AA00188,94,103,1,1,27,0,0,0,0,0.770035556,0,0,0,0,62.94917996,0,0.586031767
AA00195,117,118,0,4,10,0,0,0,0,0.718122808,0,0,0,0,68.25146583,0,0.864638091
AA00202,89,86,0,4,12,0,0,0,0,0.802653223,0,0,0,0,35.00439405,0,0.961871013
AA00203,208,219,0,6,26,0,0,0,0,0.79013307,0,0,0,0,40.68964851,0,0.872537659
AA00211,283,273,0,9,31,0,0,0,0,0.781254267,0,0,0,0,50.25456179,0,0.876266303
AA00212,184,191,0,12,25,0,131,0,0,0.727846818,0,0,0,0,66.32437433,0,0.762357177
AA00219,367,378,0,5,22,0,0,0,0,0.765883943,0,0,0,0,52.14791722,0,0.738414257
AA00228,69,69,0,2,8,0,0,0,0,0.750862948,0,0,0,0,48.02142857,0,0.897204969
AA00232,235,247,0,3,18,0,0,0,0,0.794826391,0,0,0,0,43.14218141,0,0.91772001
AA00235,132,132,0,0,26,0,0,0,0,0.770306325,0,0,0,0,53.09806936,0,0.699773325
AA00238,56,66,0,2,4,0,4,0,0,0.755658311,0,0,0,0,49.20905923,0,0.753246753
AA00239,198,187,1,3,17,0,2,0,0,0.738529167,0,0,0,0,63.32407024,0,0.699875835
AA00251,84,85,0,3,9,0,0,0,0,0.84290465,0,0,0,0,40.1314063,0,0.996167587
AA00262,152,165,0,6,23,0,0,0,0,0.72539092,0,0,0,0,57.3128099,0,0.797310313
AA00272,37,38,0,2,11,0,0,0,0,0.718791487,0,0,0,0,62.72666594,0,0.752161068
AA00279,65,60,0,8,8,0,0,0,0,0.777506539,0,0,0,0,73.37386796,0,0.406894926
AA00281,306,312,0,2,37,0,0,0,0,0.833724401,0,0,0,0,36.41753764,0,0.986076174
AA00286,396,410,2,4,22,0,0,0,0,0.782724521,0,0,0,0,49.33668284,0,0.84885187
AA00296,297,296,0,12,22,0,0,0,0,0.794400925,0,0,0,0,41.24222152,0,0.947589265
AA00299,192,197,1,1,21,0,0,1,0,0.732020642,0,0,0,0,68.11244062,0,0.710896675
AA00301,375,353,0,1,38,0,0,0,0,0.813400201,0,0,0,0,32.36054578,0,0.951441839
AA00303,175,178,0,1,11,0,0,0,0,0.813004487,0,0,0,0,35.86506269,0,0.962446693
AA00306,294,314,0,5,42,0,0,0,0,0.741432815,0,0,0,0,51.69297632,0,0.637236726
AA00316,144,135,0,1,13,0,0,0,0,0.803421437,0,0,0,0,29.77066554,0,1
AA00317,205,185,1,2,20,0,53,0,0,0.729422854,0,0,0,0,67.48450202,0,0.627659919
AA00322,207,213,0,11,15,0,0,0,0,0.756542654,0,0,0,0,47.46414321,0,0.909773896
AA00324,153,171,0,7,16,0,19,0,0,0.74703866,0,0,0,0,62.42057377,0,0.602745902
AA00325,131,131,0,7,12,0,0,0,0,0.788990541,0,0,0,0,34.19641361,0,0.894084129
AA00345,33,36,0,8,4,0,0,0,0,0.779709698,0,0,0,0,28.79407713,0,1
AA00346,169,156,0,6,14,0,0,0,0,0.810700022,0,0,0,0,38.95213358,0,0.949016698
AA00364,273,283,0,11,16,0,0,0,0,0.753653163,0,0,0,0,51.51338413,0,0.778168555
AA00374,103,97,0,13,12,0,0,0,0,0.750459155,0,0,0,0,52.37717222,0,0.824086369
AA00377,223,250,0,5,20,0,0,0,0,0.788534574,0,0,0,0,36.06743553,0,0.934006087
AA00381,110,104,0,3,10,0,0,0,0,0.84149637,0,0,0,0,29.1801281,0,0.990157788
AA00382,53,57,0,0,6,0,0,0,0,0.722656108,0,0,0,0,49.98442714,0,0.759176863
AA00388,101,116,0,6,6,0,0,0,0,0.709540597,0,0,0,0,58.25263737,0,0.588470576
AA00404,90,90,0,4,4,0,0,0,0,0.750301945,0,0,0,0,59.65903674,0,0.441111202
AA00408,162,162,0,7,18,0,0,0,0,0.796200293,0,0,0,0,41.12985031,0,0.883475198
AA00422,60,56,0,4,8,0,0,0,0,0.726617912,0,0,0,0,43.49765991,0,0.897603177
AA00430,62,66,0,3,7,0,0,0,0,0.747342729,0,0,0,0,66.31637466,0,0.494777628
AA00434,118,111,0,5,16,0,0,0,0,0.785255688,0,0,0,0,39.65457262,0,0.927222282
AA00439,201,204,1,4,18,0,0,0,0,0.754004738,0,0,0,0,47.67931932,0,0.841300985
AA00445,256,262,1,5,14,0,0,0,0,0.717754341,0,0,0,0,58.92321023,0,0.764057048
AA00455,135,138,0,0,13,0,0,0,0,0.755211597,0,0,0,0,47.02369584,0,0.772236958
AA00456,53,63,0,9,12,0,0,0,0,0.764598643,0,0,0,0,52.76300946,0,0.703147744
AA00460,125,135,0,8,6,0,0,0,0,0.820852476,0,0,0,0,39.60842069,0,0.986398683
AB00005,54,57,0,4,5,0,264,0,0,0.765963337,0,0,0,0,78.9993473,0,0.767875156
AB00006,594,633,5,16,19,0,0,0,0,0.824118509,0,0,0,0,37.1863178,0,0.999990295
AB00007,567,577,1,12,63,0,1,0,0,0.766710503,0,0,0,0,58.01200475,0,0.75036395
AB00008,361,394,2,8,25,0,0,0,0,0.804720777,0,0,0,0,43.88968274,0,0.999422002
AB00010,160,161,1,1,8,0,0,0,0,0.802208736,0,0,0,0,50.10255531,0,0.903385506
AB00011,582,678,4,8,33,0,0,0,0,0.800017367,0,0,0,0,41.52240736,0,0.99992962
AB00012,166,184,3,2,22,0,87,0,0,0.803548359,0,0,0,9178,83.68231614,0,0.7956389
AB00191,106,116,1,3,14,0,0,0,0,0.77358184,0,0,0,0,51.28388469,0,0.953221579
AB00198,145,153,0,3,15,0,0,0,0,0.783400926,0,0,0,0,42.02112887,0,0.994955045
AB00200,43,49,0,0,3,0,0,0,0,0.77297282,0,0,0,0,46.5997501,0,1
AB00201,16,17,0,1,9,0,2,0,0,0.779269092,0,0,0,0,61.09562303,0,0.898264984
AB00206,212,226,0,5,12,0,0,0,0,0.777179571,0,0,0,0,41.15856648,0,0.999704167
AB00210,440,493,0,23,50,0,0,0,0,0.811324531,0,0,0,0,43.90232697,0,0.998751623
AB00215,163,191,0,5,6,0,0,0,0,0.778124332,0,0,0,0,42.3291431,0,0.999664781
AB00230,162,181,2,0,10,0,0,0,0,0.822902794,0,0,0,0,47.90868444,0,0.997993694
AB00234,111,100,0,1,12,0,48,0,0,0.773618437,0,0,0,0,72.8018947,0,0.54481053
AB00237,156,167,0,4,11,0,0,0,0,0.803763087,0,0,0,0,40.31897263,0,0.999862467
AB00240,46,53,0,2,9,0,0,0,0,0.776341024,0,0,0,0,52.3846702,0,0.997251629
AB00257,105,124,0,1,10,0,1,0,0,0.791501019,0,0,0,0,64.29177111,0,0.632725387
AB00261,21,21,0,2,9,0,115,0,0,0.778737595,0,0,0,0,70.94997603,0,0.646156305
AB00265,42,40,0,1,5,0,5,0,0,0.739891993,0,0,0,0,61.61995888,0,0.745532184
AB00276,30,29,0,3,6,0,0,0,0,0.7172155,0,0,0,0,65.87053571,0,0.697767857
AB00284,106,113,2,2,18,0,0,0,0,0.790263712,0,0,0,0,52.10853715,0,0.763066424
AB00319,22,25,0,2,8,0,17,0,0,0.770284591,0,0,0,0,75.6425691,0,0.833480869
AB00333,37,39,0,1,2,0,8,0,0,0.785381286,0,0,0,0,75.82446452,0,0.68624498
AB00334,126,147,0,2,7,0,0,0,0,0.779775086,0,0,0,0,51.07516629,0,0.994883483
AB00336,214,223,3,2,22,0,0,0,0,0.813196195,0,0,0,0,51.81903057,0,0.961179373
AB00351,151,161,4,1,21,0,0,0,0,0.778654277,0,0,0,0,67.73349595,0,0.573058463
AB00354,90,103,0,5,9,0,0,0,0,0.797043449,0,0,0,0,51.77356098,0,0.995647029
AB00360,96,101,0,3,11,0,0,0,0,0.781963968,0,0,0,0,43.93686932,0,1
AB00362,82,97,0,1,13,0,0,0,0,0.77452129,0,0,0,0,46.21698401,0,0.999543031
AB00363,83,91,0,3,7,0,0,0,0,0.768867981,0,0,0,0,47.01733436,0,0.999807396
AB00365,91,94,0,2,18,0,2,0,0,0.796770583,0,0,0,0,68.69434488,0,0.476636134
AB00370,98,110,0,1,6,0,0,0,0,0.787831752,0,0,0,0,47.69096015,0,0.999777124
AB00380,110,102,0,0,12,0,0,0,0,0.779441276,0,0,0,0,36.80537293,0,1
AB00386,157,164,3,6,15,0,319,0,0,0.814021083,0,0,0,0,70.03252383,0,0.779366173
AB00395,41,41,0,2,6,0,0,0,0,0.811791349,0,0,0,0,56.1014975,0,0.820743206
AB00407,90,81,0,1,5,0,0,0,0,0.83625317,0,0,0,0,32.24257274,0,1
AB00425,108,118,1,7,10,0,0,0,0,0.807132311,0,0,0,0,53.86310334,0,0.996330761
AB00435,132,139,0,0,13,0,0,0,0,0.783656909,0,0,0,0,49.94867974,0,0.999161738
AB00440,253,271,0,6,16,0,0,0,0,0.792168098,0,0,0,0,41.64542099,0,0.99886651
AB00451,67,69,0,2,12,0,0,0,0,0.749097192,0,0,0,0,44.00822681,0,1
AB00452,254,274,0,4,24,0,0,0,0,0.825931074,0,0,0,0,43.31738959,0,0.999930377
AB00453,225,254,2,2,17,0,0,0,0,0.814336374,0,0,0,0,49.21900755,0,0.999282267
AB00457,52,47,0,0,6,0,0,0,0,0.777600394,0,0,0,0,41.28475602,0,0.999605419
AB00458,113,105,1,3,15,0,0,0,0,0.792489898,0,0,0,0,50.13808052,0,0.990471285
AB00465,294,313,1,1,26,0,3,0,0,0.821489199,0,0,0,0,64.89934199,0,0.691742249
AD00003,164,186,0,7,16,0,0,0,0,0.809372536,0,0,0,0,49.53479331,0,0.929664372
AD00009,178,193,0,0,35,0,0,0,0,0.762857481,0,0,0,225,46.13978789,0,0.800012155
AD00013,457,571,0,0,65,0,0,0,0,0.824677999,0,0,0,0,39.40398139,0,0.996126799
AD00014,364,418,0,8,47,0,0,0,0,0.823200849,0,0,0,0,41.8735093,0,0.987923661
AD00015,103,117,1,3,1,0,0,0,0,0.796304278,0,0,0,0,45.47338156,0,1
AD00016,151,164,1,0,15,0,0,0,0,0.786769736,0,0,0,0,50.42791585,0,0.984132114
AD00017,359,395,0,11,11,0,0,0,0,0.79626062,0,0,0,0,45.5656418,0,0.992282059
AD00018,231,288,0,0,15,0,0,0,0,0.783082571,0,0,0,0,49.14757427,0,0.996161122
AD00019,633,681,0,1,121,0,103,0,0,0.72418353,0,0,0,0,62.96395816,0,0.800443847
AD00020,389,417,0,32,61,0,1,0,0,0.730713986,0,0,0,3806,57.65040718,0,0.692658207
AD00021,689,690,4,37,62,0,17,0,0,0.753419535,0,0,0,0,61.10272519,0,0.696673076
AD00022,649,632,4,0,78,0,5,0,0,0.750192373,0,0,0,0,61.41111741,0,0.657165332
AD00023,100,92,2,6,9,0,1,0,0,0.761976893,0,0,0,154,69.37091976,0,0.477686989
AD00024,276,292,0,0,34,0,3,0,0,0.758452812,0,0,0,0,51.12016561,0,0.789176223
AD00025,187,204,2,2,10,0,0,0,0,0.814784791,0,0,0,0,49.04247043,0,0.997077207
AD00026,95,88,0,1,12,0,5,0,0,0.769916032,0,0,0,0,68.53332452,0,0.695583179
AD00027,407,403,3,8,37,0,2,0,0,0.765988801,0,0,0,4216,61.94382858,0,0.653554495
AD00037,134,142,1,14,17,0,175,0,0,0.754767934,0,0,0,0,62.36435355,0,0.825455013
AD00038,301,309,0,7,37,0,1,0,0,0.769983364,0,0,0,1664,57.95893962,0,0.711920644
AD00039,271,307,0,0,27,0,0,0,0,0.836793504,0,0,0,0,41.87996059,0,0.991692715
AD00040,231,240,0,0,48,0,29,0,0,0.755730601,0,0,0,0,57.95549492,0,0.857496618
AD00041,324,347,0,0,45,0,40,0,0,0.747777399,0,0,0,0,62.98770789,0,0.779620093
AD00043,309,317,0,0,55,0,40,0,0,0.795496603,0,0,0,0,60.839608,0,0.743814056
AD00046,464,440,2,0,27,0,0,0,0,0.796901661,0,0,0,0,45.91920876,0,0.993258136
AD00048,345,379,1,0,54,0,21,0,0,0.728947474,0,0,0,0,61.45652273,0,0.758520689
AD00050,252,255,5,6,23,0,549,0,0,0.789393888,0,0,0,0,76.43174075,0,0.624187546
AD00053,264,281,0,0,65,0,115,0,0,0.78151681,0,0,0,0,51.89652286,0,0.921034187
AD00057,335,346,0,29,41,0,5,1,0,0.753548676,0,0,0,0,54.78166344,0,0.826395997
AD00058,291,319,0,13,26,0,0,0,0,0.771831371,0,0,0,0,47.90094524,0,0.998154259
AD00064,198,229,0,0,25,0,0,0,0,0.814179516,0,0,0,0,43.15238807,0,0.994607591
AD00065,402,414,1,0,58,0,2,0,0,0.724364012,0,0,0,0,57.43900411,0,0.77656804
AD00067,174,212,0,2,12,0,0,0,0,0.821440511,0,0,0,0,40.97097434,0,0.993420431
AD00068,505,529,0,0,26,0,0,1,0,0.797344832,0,0,0,0,40.40759106,0,0.950899221
AD00070,267,281,1,0,36,0,4,2,0,0.767354369,0,0,0,0,49.98928626,0,0.858422434
AD00072,356,369,1,0,29,0,0,0,0,0.800746529,0,0,0,0,44.95356896,0,0.974713063
AD00073,161,183,0,0,44,0,2,0,0,0.809331084,0,0,0,0,57.90403773,0,0.734606825
AD00074,110,117,0,0,22,0,0,0,0,0.720542294,0,0,0,0,57.98809911,0,0.810329599
AD00075,253,269,1,0,30,0,2,0,0,0.783448577,0,0,0,0,59.3493483,0,0.665602072
AD00076,369,378,0,1,51,0,0,0,0,0.761763696,0,0,0,0,51.01411303,0,0.849714153
AD00077,300,252,0,5,66,0,0,0,0,0.879001854,0,0,0,0,30.54432841,0,1
AD00078,372,374,0,1,36,0,0,0,0,0.783080935,0,0,0,0,39.15949838,0,0.998909522
AD00080,445,455,0,5,31,0,0,0,0,0.782999561,0,0,0,0,41.67568402,0,0.999876475
AD00081,188,210,1,0,12,0,0,0,0,0.816532416,0,0,0,0,45.71100895,0,0.932007952
AD00082,210,237,0,0,30,0,0,0,0,0.770309534,0,0,0,0,44.17698514,0,0.997698075
AD00083,536,602,4,8,11,0,0,0,0,0.791903845,0,0,0,0,41.73558523,0,0.999434873
AD00086,257,296,2,3,26,0,0,0,0,0.82082252,0,0,0,0,42.28100972,0,0.994889872
AD00088,395,409,0,0,40,0,0,0,0,0.80137173,0,0,0,4,43.66381905,0,0.990216419
AD00089,241,261,1,0,9,0,0,0,0,0.781545129,0,0,0,0,50.56988119,0,0.990018998
AD00090,332,368,2,0,37,0,0,0,0,0.793831473,0,0,0,0,44.59922556,0,0.999658334
AD00097,282,270,0,3,38,0,0,1,0,0.851174694,0,0,0,0,35.4327806,0,0.976556456
AD00099,53,54,0,1,29,0,0,0,0,0.79505433,0,0,0,0,49.58354795,0,0.990455992
AD00100,523,544,3,8,7,0,0,0,0,0.811436227,0,0,0,0,40.35592801,0,0.998781371
AD00101,302,361,1,7,3,0,0,0,0,0.806224622,0,0,0,0,50.61170628,0,0.974178448
AD00104,284,314,2,0,11,0,0,0,0,0.782856934,0,0,0,0,49.61359423,0,0.958485744
AD00106,626,715,3,0,17,0,0,0,0,0.798454029,0,0,0,0,41.69791413,0,0.998999242
AD00109,269,325,0,6,18,0,0,0,0,0.782651142,0,0,0,0,45.70574446,0,0.993074822
AD00110,213,245,0,1,35,0,0,0,0,0.759515576,0,0,0,0,45.64977044,0,0.993904692
AD00112,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,1
AD00113,296,366,0,0,25,0,0,0,0,0.777056838,0,0,0,0,47.43937657,0,0.989806521
AD00114,273,289,0,1,66,0,0,0,0,0.835777942,0,0,0,0,36.21518353,0,0.958821715
AD00117,750,764,2,1,42,0,6,1,0,0.863854973,0,0,0,0,41.44889767,0,0.993036339
AD00120,235,271,0,0,12,0,0,0,0,0.774773296,0,0,0,0,49.85099602,0,0.915158414
AD00121,429,475,1,7,5,0,0,0,0,0.794457198,0,0,0,0,45.75201095,0,0.996116792
AD00123,233,243,0,0,35,0,2,0,0,0.784038128,0,0,0,0,52.95832439,0,0.833106835
AD00124,280,300,2,0,64,0,5,0,0,0.757392029,0,0,0,0,59.8245117,0,0.770118199
AD00126,162,185,1,0,26,0,0,0,0,0.769257756,0,0,0,0,69.69180272,0,0.790257442
AD00127,279,315,1,10,15,0,0,0,0,0.754901847,0,0,0,6888,48.51411957,0,0.853939417
AD00129,319,323,0,0,57,0,13,0,0,0.774156666,0,0,0,0,59.44069938,0,0.777485809
AD00130,372,399,0,0,50,0,0,1,0,0.823232967,0,0,0,0,39.35628433,0,0.941680129
AD00132,258,259,0,0,50,0,8,0,0,0.810207709,0,0,0,0,42.91274162,0,0.910690335
AD00133,226,246,1,0,24,0,0,0,0,0.814733212,0,0,0,0,38.92727061,0,0.99858123
AD00134,270,265,0,0,43,0,0,0,0,0.750737651,0,0,0,0,59.26972176,0,0.823796467
AD00135,267,274,0,0,47,0,2,0,0,0.756765642,0,0,0,0,62.22099502,0,0.737140503
AD00137,224,228,2,0,35,0,0,0,0,0.764101054,0,0,0,0,55.3542042,0,0.704166667
AD00138,307,339,0,19,39,0,1,0,0,0.752121112,0,0,0,0,56.71608203,0,0.717765009
AD00140,427,406,0,0,57,0,38,0,0,0.731220897,0,0,0,0,55.23870878,0,0.879826612
AD00141,281,292,2,11,21,0,63,0,0,0.724566252,0,0,0,0,58.9387971,0,0.828828662
AD00144,229,247,0,0,36,0,3,0,0,0.754219344,0,0,0,0,65.43281964,0,0.761066892
AD00145,310,321,2,0,71,0,123,0,0,0.718062503,0,0,0,0,58.86168382,0,0.843327147
AD00147,231,256,0,1,53,0,5,0,0,0.737669325,0,0,0,0,55.97298828,0,0.760244403
AD00150,272,264,0,13,32,0,29,0,0,0.735318731,0,0,0,0,68.77972613,0,0.786216618
AD00151,300,329,1,1,59,0,14,0,0,0.781553881,0,0,0,0,58.98070086,0,0.84937499
AD00152,306,304,0,10,20,0,14,0,0,0.737509493,0,0,0,0,49.65637275,0,0.773155125
AD00156,433,448,0,0,67,0,3,0,0,0.816716453,0,0,0,0,42.39727662,0,0.916074432
AD00158,298,324,0,0,52,0,0,0,0,0.746307438,0,0,0,0,58.36337799,0,0.912215548
AD00159,175,182,1,0,37,0,12,0,0,0.782695617,0,0,0,0,74.15433461,0,0.702586002
AD00161,381,405,0,1,45,0,2,0,0,0.798863479,0,0,0,586,55.59840826,0,0.751639887
AD00162,373,373,1,0,45,0,0,0,0,0.769569335,0,0,0,462,48.07167389,0,0.844640642
AD00163,224,231,0,14,48,0,15,0,0,0.740820635,0,0,0,0,70.24915881,0,0.864563223
AD00165,359,332,0,0,59,0,0,0,0,0.726012301,0,0,0,0,56.27805999,0,0.856093406
AD00166,591,625,0,0,63,0,1,0,0,0.720585809,0,0,0,0,58.1818811,0,0.780800584
AD00170,420,450,1,0,28,0,0,0,0,0.807743493,0,0,0,0,48.27560882,0,0.998696235
AD00171,352,370,0,16,19,0,0,0,0,0.776938264,0,0,0,0,49.87102677,0,0.926929561
AD00174,179,197,1,0,32,0,102,0,0,0.74417614,0,0,0,0,63.88439718,0,0.817856076
AD00175,192,201,0,0,26,0,0,0,0,0.830616942,0,0,0,0,56.07698052,0,0.893952794
AD00178,164,173,0,0,41,0,260,0,0,0.750867259,0,0,0,0,56.39161001,0,0.856052998
AD00179,479,526,0,5,43,0,0,0,0,0.83759034,0,0,0,0,34.50836773,0,0.999208458
AD00182,310,380,0,12,35,0,0,0,0,0.768370887,0,0,0,0,48.98315002,0,0.963704355
AD00186,238,285,0,1,20,0,0,0,0,0.850381283,0,0,0,0,38.18911491,0,0.999154374
AD00189,259,244,1,1,61,0,4,0,0,0.754066974,0,0,0,0,64.82826443,0,0.711983245
AD00190,230,220,0,4,26,0,0,0,0,0.84576823,0,0,0,0,39.86613821,0,0.998656905
AD00192,44,49,0,2,2,0,0,0,0,0.841859475,0,0,0,0,43.41669822,0,0.994698978
AD00193,198,231,0,2,26,0,0,0,0,0.851991777,0,0,0,0,37.17932876,0,0.996963192
AD00194,214,220,2,6,18,0,27,0,0,0.828265779,0,0,0,0,77.91206263,0,0.546456038
AD00204,113,112,0,2,5,0,0,0,0,0.809836421,0,0,0,0,47.70142857,0,0.943047619
AD00205,127,131,0,8,19,0,0,0,0,0.809963645,0,0,0,0,42.14482676,0,0.993404323
