vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate
AD00207,146,139,0,1,34,0,0,0,0,0.833847746,0,0,0,0,39.34934333,0,1
AD00208,116,113,0,6,17,0,0,0,0,0.829088389,0,0,0,0,35.89845225,0,0.99861583
AD00209,258,262,0,9,16,0,0,0,0,0.844923712,0,0,0,0,32.29707754,0,0.998944006
AD00213,9,9,0,1,3,0,22,0,0,0.821017548,0,0,0,0,86.14803876,0,0.818827873
AD00223,169,182,0,4,18,0,51,0,0,0.77135071,0,0,0,0,61.3584519,0,0.791950201
AD00224,145,146,0,7,22,0,0,0,0,0.752760748,0,0,0,0,62.5332405,0,0.739912307
AD00225,70,68,0,0,14,0,0,0,0,0.799499493,0,0,0,0,41.01099285,0,0.984819403
AD00233,176,200,0,4,10,0,0,0,0,0.799442226,0,0,0,0,40.91780741,0,0.999733909
AD00236,31,29,0,1,7,0,0,0,0,0.822468459,0,0,0,0,51.24090506,0,0.834405501
AD00245,23,23,0,10,6,0,0,0,0,0.700254315,0,0,0,0,65.37560976,0,0.672473868
AD00246,49,58,0,1,6,0,0,0,0,0.8170873,0,0,0,0,48.13430127,0,0.977676951
AD00247,19,17,0,2,0,0,0,0,0,0.76730334,0,0,0,0,61.96321839,0,0.747701149
AD00248,178,196,0,0,8,0,0,0,0,0.874806294,0,0,0,0,22.34310696,0,1
AD00250,436,457,3,2,27,0,0,0,0,0.808469288,0,0,0,0,39.94490262,0,0.972111963
AD00252,104,147,0,7,15,0,0,0,0,0.799709811,0,0,0,0,49.09170279,0,0.902035164
AD00254,255,267,3,0,26,0,0,0,0,0.775470087,0,0,0,0,54.72703524,0,0.728687956
AD00256,107,128,0,3,17,0,0,1,0,0.827499945,0,0,0,0,34.26958618,0,0.99379492
AD00259,155,162,1,8,6,0,0,0,0,0.843668693,0,0,0,0,41.23751114,0,0.999965737
AD00267,244,237,2,10,22,0,10,0,0,0.83199917,0,0,0,0,78.27133038,0,0.663690946
AD00277,50,50,0,0,4,0,0,0,0,0.802860839,0,0,0,0,46.01095557,0,0.988131467
AD00283,316,327,1,6,19,0,0,0,0,0.798313484,0,0,0,0,37.06458276,0,0.989524271
AD00285,214,215,0,10,10,0,0,0,0,0.806632489,0,0,0,0,40.28119309,0,0.990356194
AD00287,233,265,0,4,16,0,1,0,0,0.80494693,0,0,0,0,53.21828695,0,0.802041923
AD00289,399,448,1,7,18,0,0,0,0,0.794390165,0,0,0,0,41.5908482,0,0.990875381
AD00290,36,35,0,4,3,0,361,0,0,0.751481328,0,0,0,0,51.69118844,0,0.963675214
AD00291,81,112,0,2,9,0,1,0,0,0.807503424,0,0,0,0,53.07705856,0,0.772032459
AD00292,289,295,4,9,21,0,501,0,0,0.801509387,0,0,0,0,69.84066952,0,0.711437366
AD00294,116,127,0,5,13,0,0,0,0,0.803289829,0,0,0,0,45.08541645,0,0.990745665
AD00297,60,87,0,0,11,0,0,0,0,0.841649658,0,0,0,0,33.454794,0,0.97456765
AD00298,58,82,0,1,10,0,0,0,0,0.831528393,0,0,0,0,53.61240768,0,0.928626292
AD00302,245,240,2,5,15,0,0,0,0,0.816010408,0,0,0,0,50.66857349,0,0.920887846
AD00304,212,211,1,10,21,0,0,0,0,0.836547137,0,0,0,0,42.89668215,0,0.999603073
AD00307,226,233,0,5,39,0,0,0,0,0.865598967,0,0,0,0,27.93148223,0,0.999926641
AD00309,186,185,2,5,29,0,19,0,0,0.796622156,0,0,0,0,70.94171678,0,0.590936819
AD00310,229,272,1,2,13,0,0,0,0,0.796493308,0,0,0,0,51.36334731,0,0.835385379
AD00314,35,38,1,5,6,0,2,0,0,0.807045679,0,0,0,0,72.11147674,0,0.554751177
AD00315,160,184,0,10,14,0,7,0,0,0.816672287,0,0,0,0,63.82767949,0,0.595276741
AD00320,96,93,0,10,10,0,458,0,0,0.766237939,0,0,0,0,77.23121482,0,0.730658463
AD00327,74,78,0,1,14,0,0,0,0,0.773546087,0,0,0,0,37.96915124,0,1
AD00328,61,73,1,2,6,0,0,0,0,0.753655826,0,0,0,0,64.81595134,0,0.763600328
AD00331,104,116,0,0,9,0,0,0,0,0.837927107,0,0,0,0,28.28745695,0,0.9885907
AD00332,25,21,0,1,6,0,40,0,0,0.751819083,0,0,0,0,60.77101713,0,0.847042034
AD00338,47,55,0,1,7,0,0,0,0,0.769554231,0,0,0,0,45.37382267,0,0.994586987
AD00340,165,165,0,8,25,0,0,0,0,0.818925746,0,0,0,0,38.58753142,0,1
AD00344,290,273,2,1,37,0,101,0,0,0.794935011,0,0,0,0,73.13605537,0,0.670806878
AD00347,59,58,0,1,3,0,0,0,0,0.777089294,0,0,0,0,46.36454344,0,0.937915743
AD00349,421,465,0,7,29,0,0,0,0,0.80058027,0,0,0,0,53.68045901,0,0.774922763
AD00350,184,197,2,5,14,0,0,0,0,0.793167204,0,0,0,0,57.21942369,0,0.69144132
AD00355,139,149,0,5,13,0,3,0,0,0.774065904,0,0,0,0,70.42392068,0,0.615905805
AD00357,71,69,0,4,9,0,0,0,0,0.803651725,0,0,0,0,36.53509593,0,0.930978007
AD00359,137,136,1,5,11,0,2,0,0,0.831015431,0,0,0,0,50.51792651,0,0.918737754
AD00361,78,79,0,2,20,0,131,0,0,0.801825427,0,0,0,0,79.28895383,0,0.653185272
AD00366,293,306,4,5,8,0,0,0,0,0.808725181,0,0,0,0,51.0716481,0,0.873664526
AD00368,135,142,0,3,19,0,0,0,0,0.806418326,0,0,0,0,41.08271293,0,0.948500785
AD00369,81,80,0,9,6,0,367,0,0,0.744689816,0,0,0,0,77.67320542,0,0.901801415
AD00376,213,231,0,10,29,0,0,0,0,0.802489154,0,0,0,0,38.44207441,0,0.96857959
AD00384,478,456,3,8,31,0,0,0,0,0.808922308,0,0,0,0,36.94146106,0,1
AD00387,66,63,1,5,8,0,2,0,0,0.800784531,0,0,0,0,70.8671546,0,0.517946661
AD00391,229,251,2,9,10,0,0,0,0,0.845931282,0,0,0,0,41.04315437,0,0.982942279
AD00392,176,183,1,4,5,0,0,0,0,0.793151181,0,0,0,0,55.87683944,0,0.730035617
AD00396,24,28,0,0,4,0,6,0,0,0.89271279,0,0,0,0,76.75895433,0,0.226622596
AD00397,364,359,0,3,19,0,0,0,0,0.810835757,0,0,0,0,41.17925606,0,0.993963619
AD00400,48,44,0,4,2,0,23,0,0,0.739361936,0,0,0,17,64.86215253,0,0.775053457
AD00403,255,264,3,3,32,0,10,1,0,0.755092547,0,0,0,0,69.3767122,0,0.671838402
AD00410,29,36,0,3,7,0,0,0,0,0.791668348,0,0,0,0,54.15579392,0,0.846843679
AD00412,67,76,0,2,7,0,3,0,0,0.778907968,0,0,0,2921,77.78257364,0,0.697244225
AD00415,80,90,0,3,22,0,0,0,0,0.833780841,0,0,0,0,45.86477097,0,0.996632637
AD00416,122,130,0,8,9,0,0,0,0,0.829642917,0,0,0,0,42.81696758,0,0.999534071
AD00417,143,182,1,8,10,0,0,0,0,0.794550128,0,0,0,0,55.54554375,0,0.736493874
AD00418,185,181,0,2,6,0,0,0,0,0.842000919,0,0,0,0,31.8768793,0,1
AD00419,185,199,2,11,14,0,0,0,0,0.833493389,0,0,0,0,46.90008177,0,0.97626362
AD00423,279,306,0,1,16,0,0,0,0,0.833114241,0,0,0,0,44.72876157,0,0.987452132
AD00427,342,374,3,2,11,0,0,0,0,0.801235593,0,0,0,0,39.95731187,0,0.99749214
AD00429,134,156,0,4,19,0,0,0,0,0.815865205,0,0,0,0,46.21961629,0,0.979379107
AD00431,259,263,1,14,16,0,0,0,0,0.79222473,0,0,0,0,55.43531799,0,0.717006147
AD00432,213,228,0,2,8,0,0,0,0,0.794637439,0,0,0,0,41.18089373,0,0.974830254
AD00437,51,48,0,5,6,0,35,0,0,0.757840265,0,0,0,0,77.97605253,0,0.841946698
AD00438,25,24,0,3,3,0,0,0,0,0.752938198,0,0,0,0,58.08656716,0,0.715588723
AD00443,45,41,0,4,5,0,0,0,0,0.77121368,0,0,0,0,29.93725943,0,1
AD00444,47,52,0,1,8,0,0,0,0,0.784600764,0,0,0,0,37.69289962,0,1
AD00449,246,269,1,13,28,0,0,0,0,0.847986133,0,0,0,0,38.22833815,0,0.996202452
AD00450,200,217,1,3,12,0,2,0,0,0.82524168,0,0,0,0,34.13248938,0,0.959143751
AD00461,217,220,0,1,28,0,0,0,0,0.828919587,0,0,0,0,38.72990396,0,0.999734706
AD00471,141,162,0,10,21,0,11,0,0,0.749566452,0,0,0,0,53.47829847,0,0.762187451
AD00472,101,103,0,8,18,0,83,1,0,0.72545277,0,0,0,0,62.27570402,0,0.763474505
AE00028,100,106,0,0,23,0,0,0,0,0.754068308,0,0,0,0,71.0001042,0,0.803063457
AE00226,183,200,1,1,27,0,0,0,0,0.776998766,0,0,0,0,51.64048508,0,0.81384639
AE00269,130,140,0,5,21,0,51,0,0,0.76162527,0,0,0,0,53.13494238,0,0.819948004
AE00270,140,164,1,5,22,0,0,0,0,0.794940805,0,0,0,0,45.46853918,0,0.910433196
AE00295,75,65,1,1,9,0,2,0,0,0.726823174,0,0,0,0,60.35653105,0,0.641492341
AE00300,115,116,3,7,10,0,36,0,0,0.761335686,0,0,0,0,72.90743938,0,0.700648099
AE00341,99,101,0,2,11,0,0,0,0,0.810226953,0,0,0,0,45.0341301,0,0.942442621
AE00447,212,220,3,1,40,0,1,0,0,0.758215239,0,0,0,0,60.2087865,0,0.703674985
AF00029,132,148,1,0,9,0,0,0,0,0.82013215,0,0,0,0,39.83358536,0,0.995009829
AF00030,161,183,2,0,9,0,0,0,0,0.823280717,0,0,0,0,47.40820876,0,0.992896841
AF00031,146,171,1,4,5,0,0,0,0,0.82060144,0,0,0,0,40.95925188,0,0.94966409
AF00032,436,509,2,0,9,0,0,0,0,0.790637467,0,0,0,0,49.91053929,0,0.881282797
AF00042,276,289,2,0,14,0,0,0,0,0.805447223,0,0,0,0,36.11712236,0,0.99892717
AF00044,94,103,0,7,8,0,0,0,0,0.7832537,0,0,0,0,41.79018578,0,0.977046311
AF00047,439,459,1,0,13,0,0,0,0,0.795285671,0,0,0,0,34.97051304,0,0.999173443
AF00049,306,396,0,0,21,0,0,0,0,0.805663619,0,0,0,0,50.76439607,0,0.915433232
AF00054,183,208,0,0,10,0,0,0,0,0.832871395,0,0,0,0,40.46998763,0,0.993737007
AF00056,282,315,0,0,28,0,0,0,0,0.803110823,0,0,0,0,34.26855973,0,1
AF00063,262,317,0,0,21,0,0,0,0,0.784851681,0,0,0,0,49.68300876,0,0.938977086
AF00066,342,361,2,0,29,0,0,1,0,0.799658328,0,0,0,0,35.38688229,0,0.992502684
AF00071,202,226,1,0,10,0,0,0,0,0.829632015,0,0,0,0,49.19738876,0,0.987490785
AF00079,159,170,0,3,7,0,0,0,0,0.815154603,0,0,0,0,40.35009023,0,0.974091261
AF00084,343,364,1,1,22,0,0,0,0,0.817316513,0,0,0,0,48.01425219,0,0.962022781
AF00085,252,298,2,0,21,0,0,0,0,0.814653604,0,0,0,0,47.64334279,0,0.940196419
AF00087,77,95,0,0,3,0,0,0,0,0.794894387,0,0,0,0,32.35476211,0,1
AF00091,286,341,2,5,10,0,0,0,0,0.798151056,0,0,0,0,46.71755557,0,0.967367124
AF00092,218,255,0,3,2,0,0,0,0,0.855719184,0,0,0,0,28.4065752,0,1
AF00093,186,209,2,0,8,0,0,0,0,0.804485268,0,0,0,0,41.42570476,0,0.999071573
AF00094,3,4,0,3,1,0,0,0,0,0.801187159,0,0,0,0,27.88095238,0,1
AF00095,315,337,0,0,28,0,0,0,0,0.793142406,0,0,0,0,44.1177415,0,0.960606292
AF00096,308,356,1,10,18,0,0,0,0,0.789037912,0,0,0,0,48.09364559,0,0.972972973
AF00098,396,508,0,0,31,0,0,0,0,0.800649632,0,0,0,0,50.27823974,0,0.863455718
AF00102,246,266,3,5,16,0,0,0,0,0.854316179,0,0,0,0,32.71956657,0,1
AF00105,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1
AF00107,373,448,1,0,23,0,0,0,0,0.819343455,0,0,0,0,53.1366726,0,0.887854873
AF00108,356,376,0,2,22,0,0,0,0,0.79492127,0,0,0,0,45.2120021,0,0.966544098
AF00111,400,449,1,0,25,0,0,0,0,0.801631204,0,0,0,0,38.69471893,0,0.93482102
AF00115,273,332,1,7,16,0,0,1,0,0.805602459,0,0,0,0,50.52493792,0,0.972715399
AF00116,328,368,2,9,15,0,0,0,0,0.824359968,0,0,0,0,48.27271641,0,0.973443474
AF00119,248,278,0,1,18,0,0,0,0,0.791863902,0,0,0,0,51.90345736,0,0.859178406
AF00122,294,324,3,0,13,0,0,0,0,0.824100749,0,0,0,0,47.68731209,0,0.966459544
AF00131,229,248,1,0,17,0,0,0,0,0.80164984,0,0,0,0,39.01590445,0,0.99851476
AF00136,244,255,1,0,14,0,0,0,0,0.817561963,0,0,0,0,41.98859264,0,0.942909012
AF00139,332,326,1,0,20,0,0,0,0,0.786916328,0,0,0,0,47.24165218,0,0.904107101
AF00142,358,391,4,2,17,0,0,0,0,0.805336184,0,0,0,0,54.11993784,0,0.840011078
AF00153,281,336,2,0,7,0,0,0,0,0.805950411,0,0,0,0,53.72136912,0,0.811674799
AF00157,108,114,0,0,19,0,0,0,0,0.813278971,0,0,0,0,39.76818623,0,0.984157776
AF00167,403,508,3,4,7,0,0,0,0,0.802271977,0,0,0,0,49.32153905,0,0.881477491
AF00168,302,305,2,0,23,0,0,0,0,0.811445223,0,0,0,0,36.02528163,0,0.999275012
AF00169,410,448,2,0,13,0,0,0,0,0.783533708,0,0,0,0,46.06803592,0,0.967171129
AF00172,169,190,0,4,19,0,0,0,0,0.846145805,0,0,0,0,32.20692765,0,1
AF00180,386,450,4,3,2,0,0,0,0,0.795473692,0,0,0,0,49.26129278,0,0.898486001
AF00183,144,149,0,9,22,0,0,0,0,0.805946956,0,0,0,0,40.5322431,0,0.997031461
AF00184,281,284,3,0,19,0,0,0,0,0.790634911,0,0,0,0,45.23025334,0,0.962457522
AF00185,439,504,3,17,14,0,0,0,0,0.784385045,0,0,0,0,48.3567555,0,0.891958285
AF00187,799,907,6,8,14,0,0,0,0,0.798778855,0,0,0,0,44.66841622,0,0.904957385
AF00197,173,201,0,2,3,0,0,0,0,0.811693178,0,0,0,0,45.74834468,0,0.941259932
AF00199,332,373,0,2,20,0,0,0,0,0.808994916,0,0,0,0,35.64822732,0,0.99762142
AF00214,109,100,0,1,6,0,0,0,0,0.795449992,0,0,0,0,30.4688145,0,0.993897514
AF00216,126,130,0,5,9,0,0,0,0,0.83182607,0,0,0,0,32.80695616,0,0.938626264
AF00218,183,172,0,1,20,0,0,0,0,0.733820278,0,0,0,0,47.92804411,0,0.794785534
AF00220,118,120,0,3,10,0,0,0,0,0.8479204,0,0,0,0,30.48452763,0,1
AF00221,78,78,0,6,9,0,0,0,0,0.797428136,0,0,0,0,37.15531857,0,0.999521466
AF00243,104,133,0,6,2,0,0,0,0,0.819475194,0,0,0,0,39.50487435,0,0.976386482
AF00244,131,149,0,3,8,0,0,0,0,0.801830078,0,0,0,0,40.01491912,0,1
AF00249,213,227,0,8,7,0,0,0,0,0.777516193,0,0,0,0,39.0253012,0,0.997165131
AF00253,200,220,0,16,12,0,0,0,0,0.847305062,0,0,0,0,39.33633657,0,0.983129635
AF00255,50,49,0,3,7,0,0,0,0,0.779902415,0,0,0,0,35.4825825,0,0.999738083
AF00258,130,129,0,4,5,0,0,0,0,0.758802012,0,0,0,0,45.71235461,0,0.859687729
AF00260,185,209,2,1,9,0,0,0,0,0.814060905,0,0,0,0,31.7513834,0,0.923530962
AF00263,38,36,0,1,5,0,0,0,0,0.785986611,0,0,0,0,49.90657206,0,0.995776314
AF00264,192,189,0,5,9,0,0,0,0,0.816363492,0,0,0,0,32.9920027,0,0.927534012
AF00266,104,105,0,3,2,0,0,0,0,0.742637064,0,0,0,0,44.41966998,0,0.986125934
AF00273,87,95,0,2,6,0,0,0,0,0.828920711,0,0,0,0,29.98289219,0,1
AF00275,153,164,0,2,14,0,0,0,0,0.805338589,0,0,0,0,35.71384204,0,1
AF00278,226,223,0,0,25,0,0,0,0,0.763025802,0,0,0,0,38.68650441,0,0.999906573
AF00288,89,85,0,1,5,0,0,0,0,0.817016097,0,0,0,0,37.23913483,0,0.988477865
AF00305,227,236,1,0,15,0,0,0,0,0.769918109,0,0,0,0,42.31173923,0,0.999968383
AF00308,172,173,0,6,14,0,0,0,0,0.758653133,0,0,0,0,45.54343512,0,0.982802337
AF00311,157,181,1,1,4,0,0,0,0,0.81933636,0,0,0,0,38.9879665,0,0.999934063
AF00312,256,274,1,4,11,0,0,0,0,0.768684664,0,0,0,0,34.39612157,0,0.856790054
AF00313,179,189,1,6,7,0,0,0,0,0.824273306,0,0,0,0,34.65827077,0,0.999515621
AF00318,275,286,0,3,28,0,0,0,0,0.740755616,0,0,0,0,44.79120671,0,0.784817783
AF00321,243,282,0,2,7,0,0,0,0,0.812737195,0,0,0,0,40.34199862,0,0.999655937
AF00323,145,130,0,0,7,0,0,0,0,0.81635764,0,0,0,0,35.15988653,0,0.986396751
AF00329,345,353,0,3,24,0,0,0,0,0.763818134,0,0,0,0,47.8267561,0,0.99995122
AF00339,207,195,0,16,17,0,0,0,0,0.803572127,0,0,0,0,35.89868099,0,0.999232709
AF00342,633,667,0,1,33,0,0,80,0,0.77830271,0,0,0,0,37.74424701,0,0.996636355
AF00348,195,190,0,2,43,0,0,0,0,0.880333815,0,0,0,0,23.27152874,0,0.994919595
AF00352,123,132,1,1,18,0,0,0,0,0.782123861,0,0,0,0,39.56777425,0,1
AF00358,152,166,0,2,6,0,0,0,0,0.838183191,0,0,0,0,29.84306384,0,1
AF00367,235,248,2,5,8,0,0,0,0,0.786677301,0,0,0,0,40.55988168,0,0.991088926
AF00371,216,230,0,4,6,0,0,0,0,0.819398934,0,0,0,0,43.74749361,0,0.97438341
AF00372,31,22,0,8,20,0,0,0,0,0.832654267,0,0,0,0,15.13855422,0,1
AF00373,337,360,3,7,10,0,0,0,0,0.81244661,0,0,0,0,38.51283444,0,0.986049941
AF00375,216,182,0,1,23,0,0,0,0,0.850615161,0,0,0,0,24.50955748,0,1
AF00378,136,142,1,3,7,0,0,0,0,0.774553828,0,0,0,0,42.03028416,0,0.996575799
AF00379,206,209,0,1,16,0,0,0,0,0.775088942,0,0,0,0,42.49690753,0,0.954694021
AF00383,325,335,2,1,14,0,0,0,0,0.778906758,0,0,0,0,30.68389548,0,0.941955193
AF00385,190,225,1,3,2,0,0,0,0,0.757740484,0,0,0,0,45.27036814,0,0.999777658
AF00389,180,200,0,4,6,0,0,0,0,0.829725072,0,0,0,0,27.67791938,0,1
AF00390,73,75,0,1,5,0,0,0,0,0.765452253,0,0,0,0,42.90795761,0,0.971743196
AF00393,223,255,0,5,4,0,0,0,0,0.796292381,0,0,0,0,39.84339315,0,0.982300163
AF00398,296,304,2,0,20,0,0,0,0,0.837986049,0,0,0,0,36.14988423,0,0.986004631
AF00399,240,293,1,3,5,0,0,0,0,0.777863592,0,0,0,0,43.19070972,0,0.994923157
AF00401,268,270,2,4,13,0,0,0,0,0.754666764,0,0,0,0,44.37229939,0,0.996080399
AF00402,97,97,0,3,11,0,0,0,0,0.798745144,0,0,0,0,41.08637737,0,1
AF00405,114,125,0,2,12,0,0,0,0,0.763705371,0,0,0,0,37.89825669,0,0.999649334
AF00406,179,193,0,1,2,0,0,0,0,0.756533736,0,0,0,0,45.71854754,0,0.994914871
AF00409,129,148,1,3,17,0,0,0,0,0.822694126,0,0,0,0,40.30870879,0,0.99143102
AF00411,79,96,0,2,2,0,0,0,0,0.77210132,0,0,0,0,40.81041364,0,0.999909289
AF00413,218,246,0,6,16,0,0,0,0,0.741556391,0,0,0,0,44.80316531,0,0.933935845
AF00414,155,168,0,5,10,0,0,0,0,0.807115769,0,0,0,0,40.87766165,0,0.995749162
AF00420,269,285,0,1,18,0,0,0,0,0.811259473,0,0,0,0,44.57107613,0,0.978862197
AF00421,209,205,1,3,2,0,0,0,0,0.760595249,0,0,0,0,45.78188924,0,0.996133378
AF00424,129,143,1,5,10,0,0,0,0,0.820110696,0,0,0,0,39.10081471,0,0.995643271
AF00426,69,80,0,0,5,0,0,0,0,0.739569871,0,0,0,0,46.47779871,0,0.994214209
AF00433,573,587,3,1,18,0,0,0,0,0.84680474,0,0,0,0,23.78339442,0,1
AF00436,132,142,0,5,9,0,0,0,0,0.809038732,0,0,0,0,33.60092253,0,1
AF00441,132,138,1,7,4,0,0,0,0,0.799736204,0,0,0,0,38.25652646,0,1
AF00442,220,231,0,5,10,0,0,0,0,0.795633906,0,0,0,0,37.37768468,0,0.991975454
AF00446,72,70,0,3,7,0,0,0,0,0.812784951,0,0,0,0,42.64960817,0,0.975777725
AF00448,221,271,0,1,4,0,3,0,0,0.849513113,0,0,0,0,43.1715567,0,0.991763637
AF00459,210,217,0,5,17,0,0,0,0,0.76372906,0,0,0,0,49.65949298,0,0.737233266
AF00462,67,69,0,1,0,0,0,0,0,0.833316978,0,0,0,0,36.60564523,0,0.993916782
AF00463,320,336,2,1,12,0,0,0,0,0.79237617,0,0,0,0,33.05786137,0,0.952634664
AF00464,46,55,0,1,14,0,0,0,0,0.78719086,0,0,0,0,41.27590221,0,0.997089639
AF00467,78,71,0,1,17,0,0,0,0,0.700555129,0,0,0,0,55.8022856,0,0.816241909
AM00033,142,162,0,0,24,0,3,0,0,0.744096592,0,0,0,0,60.3764187,0,0.818591167
AM00034,181,162,0,9,18,0,0,0,0,0.746145549,0,0,0,0,63.6805669,0,0.704615265
AM00035,88,81,0,5,15,0,0,0,0,0.770374957,0,0,0,0,54.7532886,0,0.692283923
AM00062,164,172,2,7,12,0,0,0,0,0.758482618,0,0,0,0,66.57407862,0,0.444846736
AM00155,152,156,2,6,14,0,32,0,0,0.804804025,0,0,0,0,76.63706905,0,0.658326818
AM00176,120,121,0,1,13,0,0,0,0,0.75852421,0,0,0,0,34.1176087,0,0.942391304
AM00196,72,75,0,2,11,0,0,0,0,0.783467752,0,0,0,0,34.10025208,0,0.992243552
AM00227,150,162,0,2,20,0,0,0,0,0.757849889,0,0,0,0,48.27374272,0,0.738175405
AM00268,73,79,0,2,14,0,2,0,0,0.762617807,0,0,0,0,62.39256385,0,0.705396625
AM00271,270,262,0,2,8,0,0,0,0,0.805198465,0,0,0,0,33.27953664,0,0.946880192
AM00274,345,327,0,7,8,0,0,0,0,0.836724952,0,0,0,0,29.67067662,0,0.995390855
AM00282,110,120,0,3,5,0,0,0,0,0.736470173,0,0,0,0,49.37120092,0,0.717348448
AM00337,32,34,0,1,6,0,0,0,0,0.803602707,0,0,0,0,46.36168757,0,0.927480046
AM00343,85,75,0,2,11,0,0,0,0,0.778500941,0,0,0,0,34.25281006,0,0.981901315
AM00394,296,273,0,4,25,0,0,0,0,0.810516786,0,0,0,0,31.2551331,0,0.976724249
AM00428,106,123,0,4,18,0,0,0,0,0.761833599,0,0,0,0,52.02190171,0,0.794444444
